Unnamed: 0,province,CO2_tonnes,year
0.0,Amnat Charoen,149117.9846121273,2000
1.0,Ang Thong,712911.049545105,2000
2.0,Bangkok,12887612.23427582,2000
3.0,Bueng Kan,321601.5899356947,2000
4.0,Buriram,675478.1947652978,2000
5.0,Chachoengsao,8231277.014833438,2000
6.0,Chainat,665000.8445237227,2000
7.0,Chaiyaphum,1072275.3345766163,2000
8.0,Chanthaburi,1516349.6777326392,2000
9.0,Chiang Mai,3652518.401677584,2000
10.0,Chiang Rai,2104331.0749579,2000
11.0,Chonburi,6440003.507781381,2000
12.0,Chumphon,1610733.2896487426,2000
13.0,Kalasin,850663.4841609172,2000
14.0,Kamphaeng Phet,1126187.6350219669,2000
15.0,Kanchanaburi,2910790.0183182466,2000
16.0,Khon Kaen,3658664.2401436144,2000
17.0,Krabi,1281576.854349885,2000
18.0,Lampang,17921301.64352192,2000
19.0,Lamphun,803354.9102176103,2000
20.0,Loei,693649.3674374723,2000
21.0,Lopburi,1984088.971914194,2000
22.0,Mae Hong Son,172839.3124508829,2000
23.0,Maha Sarakham,613544.0149245843,2000
24.0,Mukdahan,310637.7875712299,2000
25.0,Nakhon Nayok,1031347.3454208716,2000
26.0,Nakhon Pathom,2955292.203857745,2000
27.0,Nakhon Phanom,558925.7078409967,2000
28.0,Nakhon Ratchasima,4284447.936184294,2000
29.0,Nakhon Sawan,1689761.3521685684,2000
30.0,Nakhon Si Thammarat,3608907.437932287,2000
31.0,Nan,443556.9732840757,2000
32.0,Narathiwat,994871.7416316872,2000
33.0,Nong Bua Lamphu,453515.00135291385,2000
34.0,Nong Khai,567169.9478472758,2000
35.0,Nonthaburi,2640406.940316983,2000
36.0,Pathum Thani,3446344.6098472737,2000
37.0,Pattani,905928.6554216824,2000
38.0,Phang Nga,904422.9525151824,2000
39.0,Phatthalung,893202.7789135446,2000
40.0,Phayao,690321.9699148902,2000
41.0,Phetchabun,1224970.3685994665,2000
42.0,Phetchaburi,1501794.8888947773,2000
43.0,Phichit,663473.209049117,2000
44.0,Phitsanulok,1417623.5189999884,2000
45.0,Phra Nakhon Si Ayutthaya,5917506.747895624,2000
46.0,Phrae,802610.7056895179,2000
47.0,Phuket,920937.7386127568,2000
48.0,Prachin Buri,3693185.403868457,2000
49.0,Prachuap Khiri Khan,2017521.7489384408,2000
50.0,Ranong,416961.8413107237,2000
51.0,Ratchaburi,8170245.367289369,2000
52.0,Rayong,9652184.701622697,2000
53.0,Roi Et,710561.256028387,2000
54.0,Sa Kaeo,969168.1532945804,2000
55.0,Sakon Nakhon,1163840.764063651,2000
56.0,Samut Prakan,3993175.271496191,2000
57.0,Samut Sakhon,1364298.8659323968,2000
58.0,Samut Songkhram,393721.5292128725,2000
59.0,Saraburi,4363379.598275146,2000
60.0,Satun,777293.0121412601,2000
61.0,Sing Buri,559568.426202486,2000
62.0,Sisaket,652233.6647707929,2000
63.0,Songkhla,2846755.3592261407,2000
64.0,Sukhothai,767736.9750621176,2000
65.0,Suphan Buri,3528317.8667800347,2000
66.0,Surat Thani,2981470.7443149067,2000
67.0,Surin,594637.9672740364,2000
68.0,Tak,851783.8925388717,2000
69.0,Trang,1846555.2947842623,2000
70.0,Trat,617833.7349788451,2000
71.0,Ubon Ratchathani,1232355.0425184034,2000
72.0,Udon Thani,2266919.4722909564,2000
73.0,Uthai Thani,427233.67202783294,2000
74.0,Uttaradit,702012.2262922258,2000
75.0,Yala,588694.4718372965,2000
76.0,Yasothon,318186.64989776514,2000
77.0,Amnat Charoen,159881.0761458664,2001
78.0,Ang Thong,764692.0450273075,2001
79.0,Bangkok,13823181.659217509,2001
80.0,Bueng Kan,344907.434437315,2001
81.0,Buriram,724540.32334832,2001
82.0,Chachoengsao,8822941.304667495,2001
83.0,Chainat,713301.9697007369,2001
84.0,Chaiyaphum,1150158.101220725,2001
85.0,Chanthaburi,1626480.374001996,2001
86.0,Chiang Mai,3917732.64537104,2001
87.0,Chiang Rai,2256784.336738332,2001
88.0,Chonburi,6906266.487863003,2001
89.0,Chumphon,1727726.052041378,2001
90.0,Kalasin,912449.8775816289,2001
91.0,Kamphaeng Phet,1207875.571768717,2001
92.0,Kanchanaburi,3121463.457082364,2001
93.0,Khon Kaen,3923373.420126665,2001
94.0,Krabi,1374661.856958574,2001
95.0,Lampang,19204810.539820444,2001
96.0,Lamphun,861705.1331603068,2001
97.0,Loei,743864.0491763115,2001
98.0,Lopburi,2128199.6607453097,2001
99.0,Mae Hong Son,185390.70868593024,2001
100.0,Maha Sarakham,658107.6672254733,2001
101.0,Mukdahan,333165.70288530155,2001
102.0,Nakhon Nayok,1106257.3816286172,2001
103.0,Nakhon Pathom,3169943.964265437,2001
104.0,Nakhon Phanom,599257.304277769,2001
105.0,Nakhon Ratchasima,4595243.675803594,2001
106.0,Nakhon Sawan,1812494.090746062,2001
