year,energy_transport,industrial_processes,agriculture,waste,forestry_land_use,total_excl_forestry,total_incl_forestry
2000,165991450,21270170,52572930,11584230,-45321860,251418780,206096920
2001,173787440,22851860,53757540,12495260,-54351300,262892090,208540790
2002,183230800,24914920,52186510,14210250,-44027610,274542470,230514860
2003,192200840,24139990,55978170,15853860,-45802950,288172860,242369910
2004,209166480,25882040,55725520,16486350,-54094530,307260380,253165850
2005,213344370,27753140,55412520,16847510,-58311850,313357530,255045670
2006,214078220,28638690,57874220,17981810,-61329220,318572940,257243720
2007,220488450,30280500,61155730,18404050,-68334050,330328720,261994670
2008,222894200,28741860,63403460,19614300,-69123150,334653810,265530660
2009,222482080,28161540,65243350,19393560,-71135310,335280510,264145200
2010,234380980,29785430,64836710,17516550,-65765770,346519670,280753900
2011,231161750,31084660,65291300,16521130,-74574830,344058840,269484010
2012,244329250,33222210,68562670,13117170,-80634490,359231290,278596800
2013,243235510,33025810,62898830,15473290,-83060240,354633440,271573200
2014,241256620,34537470,61731030,15754730,-100507610,353279850,252772240
2015,243336390,35332020,55637000,17719750,-87328010,352025160,264697150
2016,255923790,36772290,55414170,18580410,-87040090,366690660,279650570
2017,256584420,37628020,60345030,19582990,-85379740,374140460,288760720
2018,258641980,39623310,62186580,18507800,-85967130,378959660,292992530
2019,262083120,37961730,60486170,18696480,-91986270,379227500,287241230
2020,254827700,39609010,62065690,19799280,-95596130,376301690,280705550
2021,241921790,39772720,66503310,19470950,-98028410,367668770,269640360
2022,254307210,40527220,68933740,22172960,-107901430,385941140,278039720
